Entity,Definition
Lisinopril,A medication used to treat high blood pressure (hypertension) and heart failure.
Ibuprofen,A common nonsteroidal anti-inflammatory drug (NSAID) used for pain and fever reduction.
Hypertension,"Persistently high blood pressure, a condition that increases the risk of heart disease and stroke."
Chronic,A medical condition lasting for a long period of time (usually 3 months or more).
Acute,A condition that starts suddenly and lasts for a short period of time.
Pain,An unpleasant sensory and emotional experience associated with actual or potential tissue damage.
Nausea,A feeling of sickness with an inclination to vomit.
Diabetes,"A disease in which the body's ability to produce or respond to the hormone insulin is impaired, resulting in high blood sugar levels."
Febrile,Relating to or characterized by fever.
Tachycardia,A condition that makes the heart beat faster than normal.
Bradycardia,A condition where the heart beats slower than normal.
Cephalalgia,The medical term for a headache.
Biopsy,"An examination of tissue removed from a living body to discover the presence, cause, or extent of a disease."
Lesion,"A region in an organ or tissue that has suffered damage through injury or disease, such as a wound, ulcer, abscess, or tumor."
Edema,Swelling caused by excess fluid trapped in your body's tissues.
Pneumonia,"An infection that inflames air sacs in one or both lungs, which may fill with fluid."
Anxiety,"A mental health disorder characterized by feelings of worry, nervousness, or fear that are strong enough to interfere with daily activities."
Dosage,The size or frequency of a dose of a medicine or radiation.
Diagnosis,The identification of the nature of an illness or other problem by examination of the symptoms.
Prognosis,The likely course of a disease or ailment.
EKG,"Short for electrocardiogram, a test that records the electrical signal from your heart to check for different heart conditions."
Palpitation,"A noticeably rapid, strong, or irregular heartbeat due to agitation, exertion, or illness."
Aspirin,"A common drug used as a pain reliever and fever reducer, also used to prevent blood clots."
Statin,A class of drugs used to lower cholesterol levels.
Viral,Caused by or relating to a virus.
Bacterial,Relating to or caused by bacteria.
Intravenous,"Existing or taking place within, or administered into, a vein."
Trauma,A physical wound or injury.
CBC,"Short for Complete Blood Count, a common blood test that evaluates three main blood cell types."
Hemoglobin,A protein in red blood cells that carries oxygen.
